Back to 3000 ELO,
https://youtu.be/Z4WjtjMl3j8?si=tJ5JcLCWVN9-ymVQ&t=9,https://www.chess.com/game/live/5994195715?username=senseidanya
https://youtu.be/Z4WjtjMl3j8?si=1qPF6bORJKxNplZV&t=1099,https://www.chess.com/game/live/5994503279?username=senseidanya
https://youtu.be/Nu5BrqlnACs?si=hFHlZo9irb52ANZe&t=16,https://www.chess.com/game/live/5994538676?username=senseidanya
https://youtu.be/Nu5BrqlnACs?si=-goxXvwCLxFVGGh6&t=1343,https://www.chess.com/game/live/5994636361?username=senseidanya
https://youtu.be/SziecWG-v0c?si=0GYXFCd90n9BHhl4&t=9,https://www.chess.com/game/live/6009321829?username=senseidanya
https://youtu.be/SziecWG-v0c?si=fibsFwtWbr6qW9Tq&t=1310,https://www.chess.com/game/live/6009457698?username=senseidanya
https://youtu.be/SXsVWpN8e1A?si=x2n9V5AxM86TGSWM&t=14,https://www.chess.com/game/live/6009679902?username=senseidanya
https://youtu.be/SXsVWpN8e1A?si=FWqtkxc6ts0-JoDY&t=979,https://www.chess.com/game/live/6009796921?username=senseidanya
https://youtu.be/SXsVWpN8e1A?si=hinmInjd752T0U__&t=2043,https://www.chess.com/game/live/6009890435?username=senseidanya
https://youtu.be/HDSMjuNWNQk?si=CK-Bp7l4ds1-zOy1&t=52,https://www.chess.com/game/live/6017053070?username=senseidanya
https://youtu.be/26ZXZEiudhA?si=tFZynyjd4VnK8wg8&t=7,https://www.chess.com/game/live/6017287136?username=senseidanya
https://youtu.be/26ZXZEiudhA?si=1ThI7kkmplewAmq1&t=979,https://www.chess.com/game/live/6017411483?username=senseidanya
https://youtu.be/xQ-L0aZ24FA?si=9n8awQ4c_L-rBzo3&t=8,https://www.chess.com/game/live/6017541705?username=senseidanya
https://youtu.be/xQ-L0aZ24FA?si=RzuBrjXwTp0Un7ZB&t=657,https://www.chess.com/game/live/6028598670?username=senseidanya
https://youtu.be/NQYFSC5TCnE?si=TuYANreaieuBr-r8&t=8,https://www.chess.com/game/live/6036738198?username=senseidanya
https://youtu.be/n64LCdoBzaU?si=bRJSgp3YgLRAbldC&t=16,https://www.chess.com/game/live/6036860881?username=senseidanya
https://youtu.be/n64LCdoBzaU?si=o6Kpe0jARMqoG0k_&t=1134,https://www.chess.com/game/live/6036963373?username=senseidanya
https://youtu.be/6BHS8KMqLkU?si=VEyEnvNdwd8VeIhq&t=11,https://www.chess.com/game/live/6037079635?username=senseidanya
https://youtu.be/6BHS8KMqLkU?si=8FsWvU-OcE4p3s_b&t=1112,https://www.chess.com/game/live/6045175321?username=senseidanya
https://youtu.be/dJYcXok1_wQ?si=MDvhk5HsdxsUZFyp&t=11,https://www.chess.com/game/live/6045287511?username=senseidanya
https://youtu.be/dJYcXok1_wQ?si=34WZaIpx1T0zUySa&t=623,https://www.chess.com/game/live/6045331111?username=senseidanya
https://youtu.be/SDIQje8v5SY?si=HZxjSmI7Pt8P4wma&t=1,https://www.chess.com/game/live/6053359325?username=senseidanya
https://youtu.be/SDIQje8v5SY?si=p1if7RWyN4aBh9TX&t=1198,https://www.chess.com/game/live/6053447138?username=senseidanya
https://youtu.be/kqgaZ8Tfhyk?si=gtBMRwxx45NW-Y5O&t=11,https://www.chess.com/game/live/6053571257?username=senseidanya
https://youtu.be/kqgaZ8Tfhyk?si=-BhnZgFYGlfhj3xb&t=1199,https://www.chess.com/game/live/6053664646?username=senseidanya
https://youtu.be/7Tueff34xjA?si=4isumjIHx_Fti81T&t=7,https://www.chess.com/game/live/6175417752?username=senseidanya
https://youtu.be/7Tueff34xjA?si=cWDqLJglRBictfXN&t=775,https://www.chess.com/game/live/6175483054?username=senseidanya
https://youtu.be/pXBR9CxK3lQ?si=NJqgjhDT5DyRJ77n&t=7,https://www.chess.com/game/live/6175614120?username=senseidanya
https://youtu.be/pXBR9CxK3lQ?si=3iHwRnFbls4lYHaw&t=726,https://www.chess.com/game/live/6175682191?username=senseidanya
https://youtu.be/fg3i2Yl_vqQ?si=0Ad6LWKRdQy8IA-w&t=8,https://www.chess.com/game/live/6202224862?username=senseidanya
https://youtu.be/ndNfx0HHcLk?si=STPQM-j1FnyPNT9A&t=23,https://www.chess.com/game/live/6260450492?username=senseidanya
https://youtu.be/ndNfx0HHcLk?si=FWUnio2q8AeR4cj6&t=891,https://www.chess.com/game/live/6260541882?username=senseidanya
https://youtu.be/s3ea8V8twrY?si=944_41uSBh73JzIX&t=2,https://www.chess.com/game/live/6356991162?username=senseidanya
https://youtu.be/s3ea8V8twrY?si=Y2JV-atkwvjKu35L&t=871,https://www.chess.com/game/live/6369494684?username=senseidanya
https://youtu.be/S-PGKHRQM5o?si=Bvy9eqk5k137MlFp&t=5,https://www.chess.com/game/live/6424012704?username=senseidanya
https://youtu.be/S-PGKHRQM5o?si=SDoI0bFgVVKZkVOO&t=708,https://www.chess.com/game/live/6435049568?username=senseidanya
